component 1,component 2,component 3,class
4.9539595,2.5009964,12.255557,GALAXY
1.4188327,11.6149235,6.9129686,STAR
7.5923166,7.242096,2.4757173,GALAXY
5.4415245,-0.6671194,0.67026854,GALAXY
5.5838714,7.092574,4.658824,GALAXY
5.720833,6.4114747,9.346334,QSO
7.942256,9.462665,7.0475874,STAR
4.500764,8.645251,-2.3803015,GALAXY
5.4549103,3.3676407,12.149328,STAR
3.4239247,9.783932,9.629708,QSO
3.388393,-0.591429,9.2959585,STAR
4.69323,9.565989,8.204903,QSO
4.7789454,5.6588917,5.487208,GALAXY
6.892537,2.8289194,8.408297,QSO
0.17913313,-0.33434033,3.350113,GALAXY
1.9194196,6.542452,5.956344,STAR
3.0790136,8.860406,-1.9072976,GALAXY
1.6147557,4.1528926,3.4421885,QSO
4.4429092,5.0456777,11.649945,STAR
0.2915113,3.7463584,5.1174974,GALAXY
2.0669224,-1.608898,2.2430158,STAR
2.958958,4.859886,-2.8981385,GALAXY
11.468585,5.702228,0.41137072,STAR
7.6388307,11.320473,10.348332,GALAXY
0.87172604,2.4789608,-1.3427002,GALAXY
4.129461,8.8888645,-2.26668,GALAXY
4.2122965,10.884553,4.9269333,GALAXY
3.7074943,11.2127905,8.966055,QSO
6.1309137,10.151348,2.9328125,GALAXY
7.336046,1.1373805,7.343178,GALAXY
5.7867126,6.5918193,9.008121,QSO
5.7835255,7.7485394,8.286049,QSO
5.3879757,1.6178495,9.753945,GALAXY
4.276302,-0.097135045,7.0065017,GALAXY
3.8616776,8.703995,-2.54862,GALAXY
3.9365742,-0.07604307,9.139167,GALAXY
3.3539424,-2.730679,1.2021189,GALAXY
1.6826822,-2.8489852,6.860506,GALAXY
5.162426,4.0706477,8.788124,STAR
4.266345,11.237622,8.305289,QSO
6.846181,1.285397,4.238634,QSO
4.029746,-2.3915567,1.66949,GALAXY
5.0442476,-0.8486483,0.067044415,GALAXY
6.2087708,9.938273,0.6823506,GALAXY
10.400984,8.787955,1.5184842,GALAXY
5.589578,2.559745,0.26437026,GALAXY
4.873691,-0.18638845,7.551943,GALAXY
1.4778857,-0.70221895,6.356239,GALAXY
7.227923,7.563205,2.6256936,GALAXY
8.98375,1.861383,7.507299,QSO
12.219343,5.168668,1.4295013,STAR
4.983328,2.5153313,6.580293,GALAXY
2.6890886,4.2345285,0.6896668,GALAXY
7.981691,2.6860368,5.4526587,GALAXY
1.4051704,10.821629,8.695711,STAR
12.162571,6.725793,1.7497481,GALAXY
7.3059955,0.36038432,4.9453216,QSO
3.6291146,-3.0355253,1.2647343,GALAXY
2.2784207,11.54854,8.672312,QSO
2.129414,-3.249809,6.15076,GALAXY
4.0150356,3.8099444,3.6038346,QSO
11.067303,8.794146,5.763793,GALAXY
4.2065954,9.528711,9.568645,STAR
2.933094,8.287121,-2.138709,GALAXY
5.0789084,8.781286,4.961553,GALAXY
4.946305,1.7799928,-0.70882225,GALAXY
0.12782481,0.5253843,5.5370812,STAR
-0.81536865,4.089994,2.9287477,GALAXY
10.774708,4.3756604,1.5243603,GALAXY
7.951616,12.167684,10.246437,GALAXY
-0.3064058,3.1813977,3.3201036,GALAXY
-0.7818108,3.6878603,3.2907002,GALAXY
7.1290965,5.5232573,4.8481097,GALAXY
5.8749757,1.3654773,6.6268525,STAR
6.2404194,11.050445,5.4632816,GALAXY
12.171952,6.2979975,1.1084666,GALAXY
3.865139,6.834436,1.3104999,GALAXY
3.8107998,-2.1838155,0.39305902,STAR
7.135911,5.167572,10.517536,STAR
12.192684,6.549174,1.4066695,GALAXY
10.645729,9.909516,7.0751944,STAR
8.984053,1.7697109,7.274854,QSO
