component 1,component 2,class
1.5378636,2.2578669,GALAXY
8.574976,2.6612766,QSO
7.0784674,-3.1183124,GALAXY
13.130502,11.216731,QSO
-0.097483516,6.8986416,GALAXY
1.6738523,11.000696,GALAXY
10.873422,11.932355,QSO
10.769088,-0.2650309,QSO
9.543424,5.348567,QSO
11.123848,2.4891806,QSO
5.943155,2.811076,GALAXY
4.106826,0.47964737,GALAXY
6.849022,13.8302965,STAR
0.15608056,-3.8500838,QSO
4.3023095,15.67575,STAR
0.42072845,-2.059447,GALAXY
3.6759348,9.467491,GALAXY
0.79440206,-5.1012197,QSO
9.80001,12.34903,QSO
7.7621017,4.5014353,STAR
3.1848352,14.256479,GALAXY
9.404621,4.199207,QSO
15.907464,10.36043,GALAXY
4.5676084,-2.2294052,GALAXY
10.09975,8.34279,GALAXY
3.0127437,8.476616,GALAXY
4.49936,-4.385893,STAR
11.391327,9.0603,QSO
3.917055,7.374309,GALAXY
-0.73864055,11.903638,GALAXY
10.372921,-0.7217858,STAR
10.108975,7.2967367,GALAXY
10.053073,1.8270929,STAR
12.551599,-1.4068077,GALAXY
10.341575,2.809962,GALAXY
3.593373,15.603096,STAR
0.8714468,-0.017199261,GALAXY
-2.83129,4.788795,GALAXY
-0.4408063,12.142769,GALAXY
-1.6506543,5.1527467,GALAXY
6.1417317,-1.4854987,STAR
5.7621784,6.6686378,GALAXY
-5.8532057,4.8758764,GALAXY
6.35095,-2.4404929,GALAXY
13.066147,10.145693,QSO
5.2580113,5.3419123,GALAXY
0.84217614,11.025795,GALAXY
8.971153,8.001217,QSO
1.8800765,6.9076285,GALAXY
8.2724085,-0.2889195,STAR
-8.018051,4.9827194,STAR
-6.5478754,0.06778361,GALAXY
7.294634,-4.162946,GALAXY
13.439601,9.644254,QSO
15.74427,3.0068302,GALAXY
8.895377,15.375583,STAR
-0.34605664,8.945839,GALAXY
8.118947,6.3442054,QSO
2.8925095,-1.1784855,GALAXY
11.555148,14.817137,STAR
9.916529,7.716347,STAR
4.0480742,-0.29334524,GALAXY
9.329086,12.987568,QSO
-0.023069633,5.1537557,GALAXY
14.075845,1.087435,GALAXY
5.944651,-4.419849,STAR
7.6598916,0.48137292,STAR
-3.3622067,5.1517196,GALAXY
12.699003,4.470356,QSO
3.1985095,1.9836713,GALAXY
-3.0541987,2.249657,GALAXY
8.446473,-3.3376298,GALAXY
-2.9541478,2.3114696,GALAXY
-1.4519327,13.393539,GALAXY
2.2526374,3.148779,GALAXY
-1.0149025,2.8652117,GALAXY
3.9415567,-4.326841,STAR
-0.2213954,3.006275,GALAXY
-1.5947462,1.5477326,GALAXY
15.502725,0.8583629,GALAXY
3.8156533,9.404875,GALAXY
1.0029818,2.7748272,STAR
10.022752,-4.831894,GALAXY
-3.1281755,10.41338,GALAXY
1.4441912,0.2757789,GALAXY
8.262618,9.099963,QSO
0.24150883,0.5502218,GALAXY
6.691896,-4.064041,GALAXY
-0.24551116,0.08916905,GALAXY
1.990299,9.977795,GALAXY
-1.2141163,8.169772,GALAXY
12.257392,12.60251,QSO
-5.9003944,4.321967,GALAXY
2.5945413,15.34014,GALAXY
1.6714947,9.527107,GALAXY
1.2350867,-4.7806892,QSO
13.956079,-1.1634709,STAR
1.8896759,-3.508202,QSO
-0.36093485,-0.22975111,GALAXY
-0.8194978,8.590592,GALAXY
5.5989823,-3.5035975,GALAXY
-0.29025814,15.084742,GALAXY
7.3919444,8.413767,QSO
5.7236276,-4.2227817,STAR
11.958452,-0.4161667,GALAXY
-1.7031265,-1.339372,GALAXY
13.058486,1.1892627,STAR
-0.095183454,7.860675,GALAXY
10.166838,11.94604,QSO
12.387962,13.872065,STAR
-2.446654,2.160552,STAR
4.3674297,-3.17719,GALAXY
0.6994094,7.2073655,GALAXY
14.158281,11.799026,GALAXY
-3.0416477,4.3827987,GALAXY
5.863412,-6.031237,GALAXY
7.7478714,5.45241,QSO
-0.53050894,5.409241,STAR
-2.570316,5.63852,GALAXY
14.517841,-0.22417217,STAR
4.9424567,1.9865994,GALAXY
8.787697,12.908329,QSO
5.5279307,7.173018,GALAXY
12.17214,11.554414,STAR
4.0328975,-1.2606597,GALAXY
1.1455356,5.0252805,GALAXY
12.942511,13.254058,STAR
-4.1292315,9.181994,GALAXY
2.7432425,4.0413666,STAR
-3.1968648,1.5995064,GALAXY
-7.6706467,5.5220704,STAR
5.962703,7.0979824,GALAXY
13.321166,3.6724353,STAR
3.2678065,14.935329,STAR
0.94203275,-3.381002,GALAXY
9.688036,13.42686,QSO
4.851329,3.0421278,GALAXY
9.641195,4.596188,QSO
-2.768528,2.540178,STAR
-2.7252638,7.7653656,GALAXY
0.46538958,12.651774,GALAXY
8.304444,-3.52477,GALAXY
-4.8622627,4.872244,GALAXY
2.5291967,3.5896146,GALAXY
13.936475,1.5021968,GALAXY
-3.7596426,0.91659516,GALAXY
5.66173,5.1629944,GALAXY
11.969365,9.311717,STAR
2.2861516,-0.7242427,GALAXY
-5.9382887,6.7035446,STAR
10.876247,15.6941185,STAR
7.332077,7.53999,QSO
14.6829815,5.6563754,GALAXY
6.120288,6.552808,GALAXY
1.1642184,-2.7059824,QSO
13.245862,1.9792408,QSO
1.9728217,6.7114987,GALAXY
2.7383692,8.151135,GALAXY
13.672136,5.520965,GALAXY
0.017283287,10.615414,GALAXY
-1.0683309,10.711328,GALAXY
9.835328,7.323834,GALAXY
3.7532241,0.0011161799,GALAXY
5.7698603,-1.4332919,GALAXY
-0.98009247,13.612294,GALAXY
8.967949,9.649469,QSO
5.419747,4.7670183,QSO
11.468168,-0.22661866,QSO
-1.0155894,6.4038987,STAR
-0.8172326,2.202486,GALAXY
8.090784,4.060417,QSO
5.5698347,-2.5715158,STAR
0.095418885,6.5528846,GALAXY
-3.2298856,8.000488,GALAXY
7.0195155,-1.013893,GALAXY
12.832371,1.4891496,STAR
13.379703,1.2611982,STAR
1.3062865,8.675435,STAR
3.7085285,5.7313557,GALAXY
7.2461667,-0.070371374,STAR
0.46341917,10.45284,GALAXY
-0.57371795,-2.0771835,GALAXY
0.21636453,6.7394605,STAR
2.959767,15.886856,STAR
-5.284922,4.226815,GALAXY
13.79746,1.2638808,GALAXY
-0.5707132,8.233551,GALAXY
11.059728,10.516639,STAR
13.428985,9.638895,QSO
-5.182702,2.2626529,GALAXY
12.674746,13.713213,STAR
8.03163,4.370472,QSO
-5.9964585,-0.53431726,STAR
2.5871603,0.745327,GALAXY
11.6867075,14.914286,GALAXY
3.6866536,1.5418046,GALAXY
3.424538,1.7234298,GALAXY
0.78348386,2.2977834,GALAXY
7.9291406,8.974959,QSO
6.050321,3.4336164,GALAXY
7.636399,7.7838397,QSO
-4.0138855,2.0255442,GALAXY
-2.4566205,11.727616,GALAXY
12.594046,8.762177,QSO
-3.883487,-1.759783,GALAXY
-0.40089956,-4.6885304,QSO
0.074838676,7.3259444,STAR
3.4129865,7.0257893,GALAXY
5.274066,-1.2034465,GALAXY
7.7306,7.4668603,QSO
11.138099,14.573078,QSO
-0.8745948,4.5656905,GALAXY
7.5759797,-2.9320264,GALAXY
9.270014,6.3375726,GALAXY
-6.262155,2.824996,GALAXY
3.3681479,6.613884,STAR
2.3431504,-0.15170933,STAR
8.766491,-5.817582,GALAXY
-0.5792725,8.527879,STAR
11.344993,6.393706,STAR
12.769467,1.2869682,STAR
-1.8402435,1.6217923,GALAXY
-3.558745,0.8873253,GALAXY
3.424531,13.370538,GALAXY
0.16432749,11.5673485,GALAXY
0.5785273,2.6928093,STAR
3.4382484,4.3999147,GALAXY
13.742479,5.4137754,GALAXY
9.398918,3.9101517,QSO
8.675739,5.028595,QSO
3.8559334,1.5161567,GALAXY
-1.1347203,9.672027,GALAXY
-1.7373863,4.244571,GALAXY
14.305223,0.5618909,STAR
11.54748,11.404583,QSO
1.1800977,-3.9952443,GALAXY
14.902142,5.33166,QSO
11.026736,0.6595128,STAR
6.7394953,-0.3611481,GALAXY
1.4421638,0.2612335,STAR
0.3869967,3.164682,GALAXY
3.271128,1.0292101,GALAXY
-0.6215162,6.082731,GALAXY
9.351616,13.134783,QSO
9.737866,10.269996,STAR
-2.1833167,3.205727,GALAXY
13.579376,9.472405,QSO
2.1267695,-2.8508437,GALAXY
6.6706133,-1.8706552,STAR
12.4105835,12.496425,STAR
-8.129361,4.4869986,GALAXY
9.570426,2.2554328,STAR
2.2576354,-3.1772623,GALAXY
